Date,Open,High,Low,Close,Adj Close,Volume,Name
2021-12-01,156.10000610351562,157.07000732421875,149.88999938964844,150.05999755859375,148.13864135742188,6145500,AXP
2021-12-02,151.67999267578125,157.91000366210938,151.4600067138672,156.77000427246094,154.76272583007812,6289300,AXP
2021-12-03,158.0800018310547,158.3300018310547,153.6300048828125,155.94000244140625,153.94334411621094,4069300,AXP
2021-12-06,159.07000732421875,162.74000549316406,158.0500030517578,160.67999267578125,158.6226348876953,4141900,AXP
2021-12-07,164.5,169.16000366210938,164.16000366210938,166.9499969482422,164.81236267089844,5124500,AXP
2021-12-08,167.97999572753906,170.5399932861328,167.27999877929688,168.92999267578125,166.7670135498047,4042400,AXP
2021-12-09,167.85000610351562,168.8300018310547,166.5500030517578,168.02000427246094,165.86868286132812,2245300,AXP
2021-12-10,169.3800048828125,170.5800018310547,165.9600067138672,167.02999877929688,164.89134216308594,2768500,AXP
2021-12-13,166.39999389648438,166.39999389648438,161.99000549316406,163.3000030517578,161.2091064453125,3477600,AXP
2021-12-14,162.13999938964844,165.25999450683594,161.05999755859375,162.85000610351562,160.76487731933594,2964200,AXP
2021-12-15,162.7100067138672,163.0500030517578,158.52999877929688,162.24000549316406,160.16268920898438,5013000,AXP
2021-12-16,164.0,165.17999267578125,161.89999389648438,163.0,160.9129638671875,4900100,AXP
2021-12-17,161.0,161.32000732421875,156.9499969482422,160.00999450683594,157.9612274169922,9576800,AXP
2021-12-20,157.0,158.2100067138672,153.77999877929688,155.88999938964844,153.8939971923828,3839600,AXP
2021-12-21,157.75,161.0500030517578,157.52000427246094,160.91000366210938,158.84971618652344,3722400,AXP
2021-12-22,160.52999877929688,163.1699981689453,160.4499969482422,162.47000122070312,160.3897247314453,2877700,AXP
2021-12-23,163.86000061035156,166.39999389648438,163.58999633789062,164.19000244140625,162.08770751953125,3140500,AXP
2021-12-27,165.0,165.0,162.52999877929688,164.38999938964844,162.28514099121094,1687300,AXP
2021-12-28,163.60000610351562,166.1300048828125,163.60000610351562,164.41000366210938,162.3048858642578,2035300,AXP
2021-12-29,164.6199951171875,164.92999267578125,163.25999450683594,163.8300018310547,161.73231506347656,2082200,AXP
2021-12-30,164.6199951171875,165.8000030517578,164.0,164.16000366210938,162.05809020996094,1632900,AXP
2021-12-31,164.10000610351562,165.1699981689453,163.25,163.60000610351562,161.50527954101562,1743600,AXP
2022-01-03,164.50999450683594,168.39999389648438,164.39999389648438,168.2100067138672,166.05624389648438,3236400,AXP
2022-01-04,169.72000122070312,174.0500030517578,169.60000610351562,173.61000061035156,171.38710021972656,4799500,AXP
2022-01-05,174.7100067138672,176.30999755859375,171.5,171.75999450683594,169.56077575683594,4491900,AXP
2022-01-06,172.5399932861328,173.69000244140625,169.75,172.89999389648438,171.11456298828125,2649400,AXP
2022-01-07,172.49000549316406,175.36000061035156,171.86000061035156,174.3800048828125,172.57931518554688,3043000,AXP
2022-01-10,176.2100067138672,176.2100067138672,170.5,173.74000549316406,171.9459228515625,4269400,AXP
2022-01-11,174.5399932861328,175.72000122070312,172.49000549316406,175.3800048828125,173.5689697265625,2762700,AXP
2022-01-12,176.22999572753906,176.82000732421875,174.1699981689453,174.47000122070312,172.66836547851562,3224300,AXP
2022-01-13,174.9199981689453,176.3800048828125,172.85000610351562,173.2899932861328,171.5005340576172,3808800,AXP
2022-01-14,168.7100067138672,168.7100067138672,164.7100067138672,168.39999389648438,166.66104125976562,6508500,AXP
2022-01-18,167.91000366210938,168.94000244140625,164.83999633789062,166.1699981689453,164.45407104492188,4336300,AXP
